polygon_ID,shape_perimeter,shape_area_ha,longitude,latitude,elevation_mean,elevation_std_dev,elevation_median,tpi_mean,tpi_std_dev,tpi_median,distance_to_road_mean,distance_to_road_std_dev,distance_to_road_median,distance_to_stream_mean,distance_to_stream_std_dev,distance_to_stream_median,distance_to_nature_reserve_boundary
0,10946.32055,722.49268,101.310558,24.266357,2834,61,2829,-1,20,-1,922,608,912,356,285,268,1341
1,19942.73748,1178.105616,100.850269,24.826649,2332,138,2348,1,21,1,164,133,134,496,304,483,1689
2,13502.91692,820.679046,101.063668,24.503677,2507,79,2515,0,22,0,868,491,849,323,237,276,1184
3,7681.932685,253.453428,101.219549,24.30907,2497,156,2502,6,33,8,595,465,510,638,241,670,1464
4,9762.083217,328.531461,101.273924,24.350748,2540,143,2558,-6,25,-8,1539,366,1570,532,406,456,430
5,10218.358,649.337925,101.278696,24.272659,2571,230,2538,1,28,1,933,498,953,227,164,210,2195
6,7887.87995,260.73406,101.074523,24.490873,2442,67,2442,4,21,2,1296,428,1376,285,178,284,1134
7,7462.768079,258.37357,101.082061,24.479662,2499,86,2517,1,19,0,1439,258,1465,564,265,577,1278
8,11971.22146,401.459946,101.091627,24.476592,2476,90,2483,2,19,1,902,426,848,348,213,335,801
9,10984.31678,526.496005,101.094515,24.455085,2516,70,2515,1,18,0,1366,414,1368,205,194,150,1731
10,11241.65127,339.151855,101.108349,24.443129,2551,64,2561,1,20,0,1260,469,1204,403,221,384,1413
11,10736.98325,371.016293,101.115705,24.449121,2512,70,2518,2,19,1,1039,399,1041,293,220,254,518
12,6971.486787,230.368799,101.124652,24.42951,2537,54,2543,2,19,2,223,157,192,233,151,218,909
13,4543.27718,115.915171,101.135194,24.423833,2503,78,2498,5,19,5,417,264,416,439,237,442,441
14,8374.163991,287.807658,101.130365,24.412868,2515,41,2515,2,19,1,658,291,660,604,309,626,1503
15,8041.538449,309.183509,101.141735,24.406803,2509,59,2520,1,20,0,780,377,836,362,247,335,1296
16,7030.954845,102.229276,101.15222,24.410776,2426,53,2417,-9,23,-10,566,473,362,183,107,169,146
17,8264.106838,314.960875,101.152945,24.396421,2565,70,2555,0,21,0,1097,268,1110,227,167,192,996
18,6788.499169,280.403655,101.161949,24.38645,2590,100,2579,3,24,4,337,219,318,154,100,150,1170
19,11122.72353,380.694293,101.170268,24.37512,2576,84,2579,3,25,1,592,271,630,332,203,313,1239
20,6145.986619,203.294835,101.172088,24.35405,2670,68,2668,1,26,1,938,255,931,613,391,641,1461
21,7387.501895,242.090333,101.178647,24.366714,2555,107,2535,-4,28,-5,359,252,324,438,346,375,1502
22,9395.204483,331.926122,101.189245,24.362265,2579,124,2561,2,24,1,585,325,597,533,445,381,759
23,8919.376502,372.994926,101.194832,24.349435,2680,125,2670,0,25,0,463,320,416,593,340,530,1258
24,7628.318055,252.556449,101.282061,24.320349,2687,51,2686,-4,17,-4,544,361,496,486,278,488,1380
25,7934.657629,300.372537,101.267274,24.307042,2770,60,2764,1,22,0,848,463,810,620,305,655,3363
26,11493.97186,424.064871,101.230859,24.324495,2709,72,2715,2,23,2,878,502,920,571,434,488,3439
27,8658.64613,311.081927,101.249056,24.324452,2696,95,2689,0,24,-1,1463,543,1481,517,414,416,3901
28,10966.76462,491.296572,101.262572,24.330832,2698,95,2722,-2,23,0,1460,801,1529,458,323,403,2424
29,7997.16999,319.724899,101.278285,24.334918,2719,53,2717,2,19,2,511,326,483,715,331,713,842
30,11641.60056,410.538361,101.261307,24.356569,2664,121,2685,4,24,2,2312,464,2307,581,325,573,965
31,12449.41368,446.899288,101.237266,24.339102,2703,73,2706,4,21,4,1723,961,1760,515,318,466,2090
32,6596.152995,243.483204,101.205207,24.338541,2750,99,2739,1,30,4,876,421,939,562,251,600,1832
33,7097.897842,268.471032,101.215121,24.34717,2639,70,2644,0,22,0,1456,375,1481,467,333,429,893
34,12221.96929,313.94907,101.23592,24.357732,2694,77,2697,4,21,3,1978,627,2099,484,278,450,337
35,12476.30105,353.702592,101.239264,24.351297,2692,72,2690,-5,21,-4,1972,631,2039,829,424,894,1109
36,8837.057995,468.004898,100.986445,24.635947,2765,58,2765,2,20,3,2068,365,2117,224,150,212,1413
37,9632.833108,529.722051,101.001283,24.621709,2691,54,2687,0,19,0,1040,496,1114,367,279,308,1086
38,8669.896517,454.573753,101.010083,24.601285,2585,110,2611,1,26,2,288,201,258,282,198,254,943
39,12908.08612,601.625768,101.042899,24.564271,2523,103,2523,1,22,0,907,661,751,304,207,276,718
40,16921.84329,950.487419,101.04813,24.530702,2511,99,2527,1,24,2,868,532,829,246,166,228,785
41,6945.575241,307.341209,100.78519,24.780948,2005,128,2001,1,28,2,182,125,169,242,149,234,747
42,10408.46771,532.481524,100.751721,24.880646,2337,213,2365,-3,27,0,352,287,276,217,177,169,966
43,9418.272939,487.427927,100.781627,24.864369,2303,122,2323,1,23,2,153,112,134,270,172,254,669
44,11718.43529,577.217782,100.7628,24.919364,2236,208,2255,-3,28,0,142,118,120,362,223,360,789
45,11381.93405,549.780962,100.767962,24.880919,2395,177,2433,0,30,0,304,240,241,238,169,210,1853
46,18632.94413,931.918138,100.880124,24.754491,2452,120,2478,2,23,0,421,317,361,359,217,342,858
47,12227.25922,494.641556,100.766858,24.822441,1940,112,1932,5,24,8,131,109,108,496,246,483,954
48,15390.01241,1023.184046,100.876558,24.791715,2466,144,2485,0,22,1,561,452,466,345,221,330,2621
49,15413.1103,678.874111,100.748412,24.84581,2058,205,2067,1,25,3,200,153,169,442,320,391,378
50,8124.214206,385.736798,100.768259,24.786696,2156,82,2174,1,25,0,180,135,152,303,205,276,739
51,8679.833351,305.376953,100.824306,24.799302,2218,117,2238,1,28,2,176,152,127,411,265,394,370
52,10772.47647,484.353641,100.843592,24.844545,2269,136,2266,2,26,2,271,193,240,474,295,456,796
53,16939.51362,1033.194844,100.850298,24.791006,2354,169,2369,1,24,1,294,236,240,327,212,308,925
54,10590.72182,347.51103,100.80071,24.905906,2259,89,2262,1,28,1,206,158,174,257,164,247,755
55,8092.297417,330.040456,100.779198,24.91785,2340,111,2337,2,28,4,281,200,254,220,147,210,1050
56,17826.9855,1015.276958,100.81373,24.84077,2302,142,2324,1,23,1,219,183,174,435,289,391,948
57,10958.3246,486.280581,100.795631,24.738543,1701,145,1688,1,29,1,161,134,123,451,270,450,749
58,11933.73371,620.842866,100.784068,24.755832,1882,160,1860,0,25,0,252,187,212,454,327,390,1375
59,10603.56792,405.161549,100.777893,24.768288,2024,139,2031,1,26,1,184,162,134,400,239,379,1203
60,6687.141119,159.305023,100.761863,24.803991,2051,133,2063,1,26,0,80,80,60,254,160,240,384
61,6189.15473,167.474825,100.777002,24.810153,1958,104,1950,-2,26,2,224,134,212,357,254,335,543
62,9903.632803,514.311691,100.778492,24.90077,2449,141,2470,2,25,2,378,265,342,353,199,360,1234
63,6744.76278,174.691837,100.778163,24.796928,2049,109,2064,-2,30,1,309,169,324,224,149,210,369
64,14618.14136,519.467167,100.856575,24.734535,2197,113,2192,2,21,3,167,152,120,366,251,323,445
65,12448.83949,813.29963,100.853663,24.753171,2165,135,2161,0,24,0,267,187,241,246,184,210,951
66,14666.08939,1115.254148,100.901468,24.782992,2389,221,2426,3,24,3,307,285,218,536,298,534,1388
67,9579.804585,448.240913,100.828924,24.831771,2439,95,2454,1,20,1,346,248,313,455,273,445,1146
68,14762.23675,724.316067,100.800575,24.867728,2357,111,2384,1,23,3,173,135,150,372,251,324,881
69,4853.119559,141.906087,100.785795,24.886942,2449,86,2477,7,23,11,145,117,120,433,148,429,576
70,7869.575323,265.200492,101.250807,24.310816,2754,43,2749,2,20,3,266,188,240,961,376,1008,2781
71,9200.424342,389.073017,100.869409,24.809358,2373,130,2389,-2,16,-1,240,167,212,367,266,330,1566
72,10565.67329,377.517862,101.423252,24.028753,2474,117,2486,1,24,0,514,300,510,711,241,758,382
73,5358.508202,179.469456,101.400076,24.042746,2513,117,2515,-4,24,-5,1172,288,1171,488,326,450,637
74,4937.044303,129.212407,101.391011,24.062288,2336,139,2342,-1,27,-1,329,227,276,652,244,690,451
75,7232.406566,242.736309,101.401002,24.066892,2489,164,2512,0,29,1,321,256,254,338,216,313,1584
76,8898.70246,389.767346,101.025061,24.583715,2576,69,2578,0,19,0,1539,408,1566,273,204,228,667
77,11585.11006,438.884402,100.989943,24.652227,2766,57,2774,1,20,1,1466,371,1466,299,184,284,836
78,9452.989412,415.54266,101.383952,24.088735,2624,175,2669,1,27,0,1530,495,1530,603,354,595,632
79,4734.872353,132.404447,101.372544,24.097412,2529,139,2526,1,24,2,1460,277,1440,390,215,391,642
80,8703.620332,396.675656,101.368292,24.11027,2349,247,2365,-2,28,-1,1124,577,1110,240,168,216,1038
81,9281.475558,332.725318,101.368201,24.125762,2558,298,2647,-2,30,-3,1852,824,2093,250,179,216,1789
82,5646.024205,173.850802,101.360558,24.135352,2805,123,2819,4,25,5,2037,217,2045,487,173,510,1050
83,6565.308333,219.300778,101.346564,24.135453,2483,238,2446,-3,28,-3,1250,509,1325,153,113,127,538
84,7425.211783,187.680833,101.339925,24.148071,2651,166,2689,3,24,5,788,374,807,466,238,488,1429
85,8301.684093,234.578511,101.334269,24.157283,2427,201,2402,-6,26,-7,374,188,375,257,163,247,1395
86,7479.244568,195.006006,101.327939,24.163288,2416,200,2401,2,36,0,187,139,161,352,199,360,1158
87,7973.727392,263.013412,101.33175,24.171192,2595,277,2627,2,31,0,613,390,577,541,328,540,1217
88,7998.544793,241.922912,101.327039,24.189816,2551,159,2515,-1,33,-3,1418,707,1336,362,237,361,1265
89,10334.96942,653.478868,101.323376,24.202618,2742,152,2756,0,27,0,1552,671,1626,195,137,174,1538
90,7727.095498,222.377347,101.295037,24.213373,2453,268,2427,3,32,4,1057,512,1092,373,206,362,1001
91,11607.40769,396.267807,101.300569,24.221508,2616,271,2601,2,32,2,1725,766,1938,268,174,247,1344
92,12406.82788,681.226941,101.300993,24.236266,2617,237,2640,-2,28,-2,2286,760,2344,266,217,210,2211
93,3494.301341,46.614932,101.278274,24.235735,2229,135,2233,9,33,12,406,154,403,113,90,90,214
94,9909.581395,400.087113,101.292021,24.248298,2609,176,2602,2,24,1,1145,544,1148,166,140,134,1981
95,14066.4417,915.87254,101.257824,24.28879,2523,208,2539,1,26,0,1038,575,1092,373,276,323,1515
96,8797.362581,310.363988,100.901343,24.738978,2579,116,2571,1,26,1,569,329,558,531,269,536,323
97,9709.827786,480.663534,100.918797,24.718312,2656,122,2658,3,23,3,1116,531,1140,450,229,466,922
98,10074.26621,373.008293,100.934858,24.715715,2710,140,2765,-1,26,0,1857,353,1880,278,222,234,1215
99,11072.92961,396.698773,100.938125,24.701866,2665,133,2703,3,24,2,1394,328,1406,522,256,530,525
100,13598.18966,647.857554,100.949589,24.661452,2663,110,2685,3,21,3,783,442,810,362,258,318,565
101,8606.841405,340.633281,100.963014,24.637069,2652,124,2664,2,23,3,1040,511,1001,231,151,216,757
102,9457.495592,348.874884,100.973732,24.623832,2687,94,2693,1,24,1,1018,538,931,349,198,349,811
103,10311.70689,548.878121,100.987119,24.604711,2532,139,2529,-1,25,-1,328,253,276,240,168,216,790
104,10151.71768,515.423164,100.999297,24.584037,2502,128,2523,0,22,0,675,389,641,262,179,241,1068
105,10437.41816,584.65618,101.009272,24.566857,2445,133,2463,-2,24,0,944,569,937,296,219,256,1181
106,9667.215272,494.120331,101.028199,24.546121,2538,50,2537,-2,19,-3,477,325,442,486,266,488,2735
107,6879.407515,286.321895,101.00744,24.539053,2540,42,2535,1,18,1,412,306,351,407,256,394,714
108,12297.01506,671.971973,101.025632,24.523936,2469,73,2472,0,20,-1,1150,579,1233,335,234,305,988
109,10446.36981,451.935953,101.034563,24.505439,2466,99,2476,0,20,0,411,322,335,585,304,577,739
110,10038.67282,217.166301,101.069401,24.476909,2460,72,2443,0,17,0,704,302,674,464,241,523,678
111,9521.139832,315.023863,101.075534,24.459107,2399,148,2414,-1,19,-1,351,284,276,747,294,789,285
112,6343.521584,175.584819,101.087491,24.444483,2412,125,2431,2,20,0,412,289,391,817,229,819,438
113,4456.593314,87.568782,101.100349,24.433337,2446,89,2435,0,17,0,274,190,268,689,130,715,306
114,4551.671133,121.637884,101.105135,24.425817,2470,121,2449,4,23,4,387,196,390,380,206,381,439
115,5739.216946,227.503471,101.116731,24.41026,2308,158,2299,-3,20,-2,297,205,270,623,321,657,831
116,3642.614195,46.195098,101.124116,24.402129,2481,66,2489,18,20,20,96,75,84,794,119,810,176
117,4905.5241,95.73752,101.135706,24.393721,2419,92,2418,1,25,0,604,233,602,609,273,662,206
118,5076.423586,124.579943,101.145857,24.383154,2487,141,2493,1,22,1,190,166,150,253,155,241,364
119,5570.79354,139.677086,101.153752,24.373767,2524,139,2524,8,24,9,410,274,432,469,116,480,313
120,10463.7627,388.119048,101.154445,24.352846,2254,192,2234,0,25,0,162,126,127,309,160,318,749
121,9893.841732,491.009732,101.165779,24.339519,2294,224,2259,2,27,1,225,227,150,355,195,361,1135
122,10025.08275,519.521938,101.18484,24.331392,2456,277,2472,-3,26,-2,288,227,234,454,299,436,810
123,8522.109971,334.596672,101.2025,24.321924,2385,236,2386,0,32,0,531,328,510,343,204,324,1283
124,8855.731405,324.503299,101.209607,24.31285,2294,232,2278,-6,29,-6,862,300,891,331,237,295,1111
125,8076.111473,187.594577,101.230019,24.288617,2416,213,2405,0,30,-1,639,466,593,846,299,858,295
126,8506.442494,291.386225,101.232333,24.299681,2369,242,2359,-3,28,-2,411,315,351,449,308,424,1475
127,8515.881518,229.057338,101.471172,24.023219,2589,132,2598,-3,24,-2,892,185,898,257,178,241,448
128,9602.504651,350.310546,101.456727,24.024762,2665,163,2708,2,24,0,433,260,429,446,260,445,846
129,9204.640834,497.363463,101.45113,24.03896,2655,140,2651,0,27,0,810,452,810,412,236,416,1137
130,11242.48266,518.526536,101.433132,24.042947,2435,125,2443,-1,27,0,1178,445,1248,323,212,308,1959
131,6045.561607,175.871662,101.463476,24.057147,2452,108,2444,2,25,2,313,247,256,450,309,379,453
132,6001.307296,147.38104,101.455857,24.060569,2209,68,2199,-12,28,-12,461,366,379,181,162,134,830
133,16255.68206,1092.817389,101.426704,24.057526,2488,144,2484,2,26,3,653,480,551,407,271,366,2625
134,13492.26987,854.362829,101.423382,24.075261,2656,134,2656,2,27,0,849,528,807,413,298,360,2131
135,12701.86724,835.964214,101.418896,24.094658,2704,144,2722,-1,28,-2,1564,780,1604,378,281,330,1941
136,16347.88627,1254.244963,101.403621,24.112165,2663,140,2670,0,27,-1,1806,972,1961,361,250,331,1941
137,12089.96295,679.378253,101.393764,24.129162,2636,155,2643,4,27,4,1795,927,1982,272,196,241,2047
138,5551.950215,203.335981,101.293446,24.320638,2652,79,2654,0,19,-1,1147,319,1140,734,294,792,679
139,3779.925735,66.365931,101.29708,24.311392,2586,129,2609,3,23,1,1863,158,1865,129,103,108,649
140,8588.986789,337.807117,101.284068,24.303598,2737,71,2739,2,20,2,1886,467,1978,471,318,420,2188
141,8603.450645,353.09851,101.28947,24.287785,2748,108,2737,0,27,0,1770,609,1872,180,132,152,2603
142,4580.490909,122.557188,101.298734,24.298254,2580,40,2578,-6,19,-6,1755,399,1740,138,108,120,1149
143,3326.150058,53.908777,101.3014,24.30597,2512,78,2518,-2,28,-1,2064,191,2066,110,84,94,452
144,5117.494066,140.328207,101.308567,24.297411,2684,108,2691,6,22,6,958,410,912,244,162,240,430
145,11484.00225,790.046579,101.35878,24.161446,2811,94,2805,1,28,0,762,513,699,289,187,270,3207
146,14760.36851,1084.178033,101.381794,24.150599,2748,101,2740,0,26,0,925,689,782,210,153,189,1270
147,6830.797091,258.35761,101.380021,24.176377,2780,70,2779,2,19,1,745,363,757,346,171,351,888
148,8354.597031,236.436991,101.365443,24.18237,2763,139,2716,0,26,0,1630,423,1639,284,295,161,1651
149,3952.474215,97.79629,101.373645,24.194526,2426,100,2424,-4,33,-4,991,316,1005,113,90,90,463
150,4925.484249,121.152209,101.374128,24.185895,2618,93,2623,-2,24,-2,959,344,1008,212,132,212,688
151,11900.72744,746.609553,101.354155,24.193468,2701,137,2697,2,24,0,1831,586,1917,247,194,212,1623
152,9341.755161,422.72292,101.351261,24.212715,2693,99,2683,0,22,-1,832,552,737,166,110,152,1211
153,8704.356501,445.332101,101.338735,24.220049,2846,111,2836,1,24,0,1881,594,1860,141,100,123,1562
154,8973.977906,406.988391,101.329195,24.230031,2913,75,2899,2,22,1,2764,655,2871,171,126,150,1912
155,6404.883939,213.126137,101.328414,24.244015,2739,80,2750,-3,20,-2,2553,414,2515,119,81,108,1240
156,8268.702273,312.908382,101.319794,24.249329,2744,55,2747,-1,22,0,2744,431,2688,171,155,127,1276
157,8693.818036,330.79208,101.306343,24.284663,2786,80,2799,-2,20,-1,510,378,417,192,136,169,1023
158,5621.78574,176.782824,101.340561,24.243913,2841,94,2845,-2,24,-2,1390,336,1410,170,116,150,515
159,8627.968458,293.941019,101.265029,24.263077,2219,297,2218,-4,31,-4,506,316,510,164,116,150,535
160,9024.880255,287.543191,101.285033,24.256927,2720,123,2707,3,23,2,412,271,371,247,160,228,1546
161,8369.959611,331.157194,101.302735,24.203236,2437,197,2449,-4,32,-3,725,340,726,140,108,120,716
162,6514.167505,247.322923,101.328794,24.180361,2507,215,2523,-2,34,-2,1283,418,1281,393,245,371,1053
163,5748.202454,180.218476,101.337725,24.138943,2550,145,2527,9,32,9,598,380,560,313,180,305,863
164,4439.186175,123.086591,101.328502,24.148812,2218,105,2213,-6,25,-6,235,151,228,510,245,512,567
165,5424.47632,143.664461,101.355612,24.124233,2313,272,2314,-5,34,-1,1015,437,1049,358,220,342,547
166,6651.858389,223.40402,101.393623,24.076016,2435,197,2445,-1,29,0,644,383,684,384,241,384,774
167,5445.008677,151.501514,101.397748,24.05306,2640,75,2634,5,25,4,1023,329,1033,595,217,615,765
168,4782.65197,94.625005,101.114188,24.419803,2446,120,2472,3,19,2,130,107,108,368,183,371,462
169,7369.452193,188.049001,101.224441,24.304248,2304,201,2274,0,24,2,382,268,330,434,300,375,1384
170,6552.118116,226.452155,100.939609,24.686847,2538,115,2539,-3,23,-4,391,294,331,220,147,201,492
171,10065.61598,397.083513,101.011904,24.55147,2567,63,2573,1,20,1,1073,286,1087,430,272,402,1623
